cat_id,exchange,industry_name,code,name,url
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",ATA,CTCP Ntaco,https://finance.vietstock.vn/ATA-ctcp-ntaco.htm
5,UPCoM,Tư liệu sản xuất,ATB,CTCP An Thịnh,https://finance.vietstock.vn/ATB-ctcp-an-thinh.htm
5,UPCoM,Nguyên vật liệu,ATG,CTCP An Trường An,https://finance.vietstock.vn/ATG-ctcp-an-truong-an.htm
2,HNX,Dịch vụ tiêu dùng,ATS,CTCP Tập Đoàn Dược Phẩm Atesco,https://finance.vietstock.vn/ATS-ctcp-tap-doan-duoc-pham-atesco.htm
5,UPCoM,Dịch vụ tiện ích,AVC,CTCP Thủy điện A Vương,https://finance.vietstock.vn/AVC-ctcp-thuy-dien-a-vuong.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",AVF,CTCP Việt An,https://finance.vietstock.vn/AVF-ctcp-viet-an.htm
5,UPCoM,Nguyên vật liệu,AVG,CTCP Phân bón Quốc tế Âu Việt,https://finance.vietstock.vn/AVG-ctcp-phan-bon-quoc-te-au-viet.htm
2,HNX,Tổ chức tín dụng,BAB,Ngân hàng TMCP Bắc Á,https://finance.vietstock.vn/BAB-ngan-hang-tmcp-bac-a.htm
1,HOSE,"Thực phẩm, đồ uống và thuốc lá",BAF,CTCP Nông nghiệp BAF Việt Nam,https://finance.vietstock.vn/BAF-ctcp-nong-nghiep-baf-viet-nam.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,https://finance.vietstock.vn/BAL-ctcp-bao-bi-bia-ruou-nuoc-giai-khat.htm
2,HNX,Phát triển và quản lý bất động sản,BAX,CTCP Thống Nhất,https://finance.vietstock.vn/BAX-ctcp-tho´ng-nha´t.htm
1,HOSE,"Thực phẩm, đồ uống và thuốc lá",BBC,CTCP Bibica,https://finance.vietstock.vn/BBC-ctcp-bibica.htm
5,UPCoM,Nguyên vật liệu,BBH,CTCP Bao bì Hoàng Thạch,https://finance.vietstock.vn/BBH-ctcp-bao-bi-hoang-thach.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BBM,CTCP Bia Hà Nội - Nam Định,https://finance.vietstock.vn/BBM-ctcp-bia-ha-noi-nam-dinh.htm
2,HNX,Nguyên vật liệu,BBS,CTCP VICEM Bao bì Bút Sơn,https://finance.vietstock.vn/BBS-ctcp-vicem-bao-bi-but-son.htm
5,UPCoM,Dịch vụ và thiết bị chăm sóc sức khỏe,BBT,CTCP Bông Bạch Tuyết,https://finance.vietstock.vn/BBT-ctcp-bong-bach-tuyet.htm
5,UPCoM,Nguyên vật liệu,BCA,CTCP B.C.H,https://finance.vietstock.vn/BCA-ctcp-b-c-h.htm
5,UPCoM,Năng lượng,BCB,CTCP 397,https://finance.vietstock.vn/BCB-ctcp-397.htm
2,HNX,Nguyên vật liệu,BCC,CTCP Xi măng Bỉm Sơn,https://finance.vietstock.vn/BCC-ctcp-xi-mang-bim-son.htm
1,HOSE,Phát triển và quản lý bất động sản,BCE,CTCP Xây dựng và Giao thông Bình Dương,https://finance.vietstock.vn/BCE-ctcp-xay-dung-va-giao-thong-binh-duong.htm
2,HNX,"Thực phẩm, đồ uống và thuốc lá",BCF,CTCP Thực phẩm Bích Chi,https://finance.vietstock.vn/BCF-ctcp-thuc-pham-bich-chi.htm
1,HOSE,Tư liệu sản xuất,BCG,CTCP Tập đoàn Bamboo Capital,https://finance.vietstock.vn/BCG-ctcp-tap-doan-bamboo-capital.htm
1,HOSE,Phát triển và quản lý bất động sản,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,https://finance.vietstock.vn/BCM-tong-cong-ty-dau-tu-va-phat-trien-cong-nghiep-–-ctcp.htm
5,UPCoM,Tư liệu sản xuất,BCO,CTCP Xây dựng Bình Phước,https://finance.vietstock.vn/BCO-ctcp-xay-dung-binh-phuoc.htm
5,UPCoM,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",BCP,CTCP Dược ENLIE,https://finance.vietstock.vn/BCP-ctcp-duoc-enlie.htm
5,UPCoM,Phát triển và quản lý bất động sản,BCR,CTCP BCG Land,https://finance.vietstock.vn/BCR-ctcp-bcg-land.htm
5,UPCoM,Dịch vụ tiêu dùng,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,https://finance.vietstock.vn/BCV-ctcp-du-lich-va-thuong-mai-bang-giang-cao-bang-vimico.htm
2,HNX,Truyền thông và giải trí,BDB,CTCP Sách và Thiết bị Bình Định,https://finance.vietstock.vn/BDB-ctcp-sach-va-thiet-bi-binh-dinh.htm
5,UPCoM,Hàng tiêu dùng và trang trí,BDG,CTCP May mặc Bình Dương,https://finance.vietstock.vn/BDG-ctcp-may-mac-binh-duong.htm
5,UPCoM,Nguyên vật liệu,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,https://finance.vietstock.vn/BDT-ctcp-xay-lap-va-vat-lieu-xay-dung-dong-thap.htm
5,UPCoM,Dịch vụ tiện ích,BDW,CTCP Cấp thoát nước Bình Định,https://finance.vietstock.vn/BDW-ctcp-cap-thoat-nuoc-binh-dinh.htm
2,HNX,Truyền thông và giải trí,BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,https://finance.vietstock.vn/BED-ctcp-sach-va-thiet-bi-truong-hoc-da-nang.htm
5,UPCoM,Công nghệ phần cứng và thiết bị,BEL,CTCP Điện tử Biên Hòa,https://finance.vietstock.vn/BEL-ctcp-dien-tu-bien-hoa.htm
1,HOSE,Nguyên vật liệu,BFC,CTCP Phân bón Bình Điền,https://finance.vietstock.vn/BFC-ctcp-phan-bon-binh-dien.htm
5,UPCoM,Dịch vụ tiện ích,BGE,CTCP BCG Energy,https://finance.vietstock.vn/BGE-ctcp-bcg-energy.htm
5,UPCoM,Dịch vụ tiện ích,BGW,CTCP Nước sạch Bắc Giang,https://finance.vietstock.vn/BGW-ctcp-nuoc-sach-bac-giang.htm
5,UPCoM,Dịch vụ tiện ích,BHA,CTCP Thủy điện Bắc Hà,https://finance.vietstock.vn/BHA-ctcp-thuy-dien-bac-ha.htm
5,UPCoM,Nguyên vật liệu,BHC,CTCP Bê tông Biên Hòa,https://finance.vietstock.vn/BHC-ctcp-be-tong-bien-hoa.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BHG,CTCP Chè Biển Hồ,https://finance.vietstock.vn/BHG-ctcp-che-bien-ho.htm
5,UPCoM,Bảo hiểm,BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,https://finance.vietstock.vn/BHI-tong-cong-ty-co-phan-bao-hiem-sai-gon-ha-noi.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BHK,CTCP Bia Hà Nội - Kim Bài,https://finance.vietstock.vn/BHK-ctcp-bia-ha-noi-kim-bai.htm
1,HOSE,"Thực phẩm, đồ uống và thuốc lá",BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,https://finance.vietstock.vn/BHN-tong-cong-ty-co-phan-bia-ruou-nuoc-giai-khat-ha-noi.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BHP,CTCP Bia Hà Nội - Hải Phòng,https://finance.vietstock.vn/BHP-ctcp-bia-ha-noi-hai-phong.htm
