stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
HHP,2024-12-05,0,6.80,0,0,0.62,202,42.79,16.60,11869,0.73
HHG,2024-12-05,0,0.20,0,0,2.43,-991,-1.41,9.17,2677,0.52
HHS,2024-12-05,329200,5.48,0,0,1.61,1325,5.67,9.21,12984,0.58
HHV,2024-12-05,128900,8.49,0,0,1.32,672,16.51,11.87,15744,0.71
HID,2024-12-05,0,0.57,0,0,0.66,269,9.79,11.32,11890,0.22
HIG,2024-12-05,0,0,0,0,0.49,389,28.26,12.41,19432,0.57
HIO,2024-12-05,0,0.04,0,0,0.62,927,10.75,10.57,11972,0.83
HII,2024-12-05,0,0.80,0,0,0.71,64,70.23,3.58,13391,0.34
HJC,2024-12-05,0,0,0,0,-0.09,1109,5.41,7.28,13952,0.43
HKT,2024-12-05,0,0.26,0,0,0.24,151,56.99,10.55,11722,0.73
HKB,2024-12-05,0,0.82,0,0,2.04,-1137,-0.53,-2.67,1981,0.30
HLA,2024-12-05,0,0.12,0,0,0,-3771,-0.11,0.40,-46986,-0.01
HJS,2024-12-05,0,0.61,2200,0.07,0.43,2519,12.86,16.01,14984,2.16
HLB,2024-12-05,0,0,9000,0.03,-0.24,0,0,9.45,0,0
HLC,2024-12-05,0,9.68,800,0.07,0.66,2946,4.14,3.12,15457,0.79
HLS,2024-12-05,0,0,1000,0.06,0.32,0,0,12.93,0,0
HLD,2024-12-05,0,4.23,0,0,0.44,113,254.78,230.28,21271,1.36
HLO,2024-12-05,0,39.35,0,0,0.10,0,0,18.94,0,0
HLT,2024-12-05,0,0,0,0,0.04,16,777.01,15.03,19390,0.63
HMG,2024-12-05,0,0,800,0.07,0,2043,5.68,10.44,11124,1.04
HLY,2024-12-05,0,1.56,0,0,0.39,-4613,-3.58,-1.91,609064,0.03
HMH,2024-12-05,0,0.48,0,0,-0.12,1211,10.74,21.45,17006,0.76
HMC,2024-12-05,0,0.43,800,0.07,0.74,1071,10.55,19.28,14436,0.78
HNA,2024-12-05,0,0,1000,0.04,-0.05,1086,23.49,33.33,13367,1.91
HMS,2024-12-05,0,0,800,0.02,0.33,0,0,13.64,0,0
HND,2024-12-05,0,0.02,1402,0.11,0.97,613,21.55,17.66,12223,1.08
HMR,2024-12-05,0,0,968,0.09,0.46,983,11.40,7.86,13329,0.84
HNB,2024-12-05,0,0.31,650,0.05,1.69,740,16.76,8.38,10688,1.16
HNF,2024-12-05,0,0.09,4500,0.16,0.54,4996,5.64,12.38,21722,1.30
HNM,2024-12-05,0,0,0,0,0.76,605,14.25,7.97,10579,0.81
HNI,2024-12-05,0,0,1500,0.07,0.67,2990,7.69,17.09,17586,1.31
HNG,2024-12-05,170000,1.68,0,0,2.10,-1043,-4.79,-46.15,1677,2.98
HNP,2024-12-05,0,2.67,500,0.03,-0.01,0,0,22.63,12531,1.44
HNR,2024-12-05,0,45.57,0,0,0,-586,-20.49,-10.62,17417,0.69
HOM,2024-12-05,0,0.80,0,0,0.05,-783,-4.73,-2.65,12195,0.30
HOT,2024-12-05,0,0,0,0,-0.34,1164,15.47,28.55,6650,2.71
HPG,2024-12-05,5682000,21.78,0,0,1.06,2028,13.17,17.08,17476,1.53
HPB,2024-12-05,0,0.08,1500,0.08,-0.19,4007,4.62,21.75,21939,0.84
HPD,2024-12-05,0,10.32,1000,0.04,0.21,1564,14.44,9.40,13296,1.70
HPH,2024-12-05,0,0,0,0,0.11,0,0,17.63,0,0
HPI,2024-12-05,0,0,0,0,-0.12,1416,9.18,32.28,6791,1.91
HPP,2024-12-05,0,23.57,3000,0.04,1.03,0,0,6.09,0,0
HPT,2024-12-05,0,3.47,1200,0.06,0.33,34,569.90,6.44,3553,5.40
HPM,2024-12-05,0,1.28,0,0,-0.12,3228,2.29,1.87,10000,0.74
HPW,2024-12-05,0,0.11,850,0.05,0.86,1455,12.89,14.88,14246,1.32
HPX,2024-12-05,310200,0.80,0,0,1.48,418,11.45,13.88,11948,0.40
HRB,2024-12-05,0,0,3050,0.05,0,0,0,27.89,0,0
HQC,2024-12-05,151700,0.76,0,0,0.95,54,56.74,1.77,9398,0.33
HSA,2024-12-05,0,0,0,0,0,9841,3.35,12.18,33698,0.98
HRC,2024-12-05,0,0.60,0,0,-0.33,640,67.78,240.55,18163,2.39
HSG,2024-12-05,390300,10.05,500,0.03,1.65,827,22.08,28.10,17573,1.04
HSI,2024-12-05,0,0,0,0,0.21,-3721,-0.38,7,-1257,-1.11
HSM,2024-12-05,0,0,0,0,-0.09,-7021,-0.80,17.94,18565,0.30
HSL,2024-12-05,0,1.86,0,0,0.49,325,12.41,8.54,11561,0.35
HSP,2024-12-05,0,2.93,1140,0.11,0.13,1411,7.58,9.19,15581,0.69
