stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
BDT,2024-05-11,,0.12,648.0,0.09,1.35,152.0,47.83,27.02,14226.0,0.51
BDW,2024-05-11,,0.05,2550.0,0.11,0.18,3294.0,7.07,6.08,16175.0,1.44
BED,2024-05-11,,,2200.0,0.07,-0.06,2128.0,14.47,17.33,13691.0,2.25
BEL,2024-05-11,,,1000.0,0.03,0.15,3.0,11870.5,36.0,8268.0,3.99
BFC,2024-05-11,3700.0,5.17,2500.0,0.07,1.97,5624.0,6.58,10.07,25337.0,1.46
BGE,2024-05-11,1000.0,0.01,,,2.44,567.0,19.8,15.96,14015.0,0.8
BGW,2024-05-11,,,548.0,0.03,0.19,551.0,29.04,25.93,10519.0,1.52
BHA,2024-05-11,,0.03,1250.0,0.06,0.16,2629.0,8.29,22.87,14651.0,1.49
BHC,2024-05-11,,0.9,,,0.54,2.0,995.48,78.57,-17140.0,-0.13
BHG,2024-05-11,,,,,,1745.0,6.3,78.63,11097.0,0.99
BHI,2024-05-11,,75.02,,,-0.74,-21.0,-542.71,115.0,11803.0,0.97
BHK,2024-05-11,,0.01,900.0,0.04,0.08,,,19.06,,
BHN,2024-05-11,,17.57,2700.0,0.07,0.26,1278.0,30.87,45.27,21944.0,1.8
BHP,2024-05-11,,0.03,250.0,0.04,-2.21,-461.0,-15.39,23.41,15453.0,0.46
BIC,2024-05-11,4300.0,45.46,1500.0,0.05,1.18,4004.0,8.24,6.45,24106.0,1.37
BID,2024-05-11,42804.0,17.03,,,1.11,4201.0,11.35,13.2,24286.0,1.96
BIG,2024-05-11,,0.02,,,1.21,,,4.65,,
BII,2024-05-11,,,,,1.24,30.0,23.62,0.79,8971.0,0.08
BIO,2024-05-11,,,650.0,0.04,0.99,,,22.02,,
BKC,2024-05-11,,0.14,,,-0.06,2115.0,5.39,25.73,17543.0,0.65
BKG,2024-05-11,,0.1,,,0.52,184.0,18.48,9.74,12473.0,0.27
BLF,2024-05-11,,,,,1.18,-370.0,-10.27,8.92,10581.0,0.36
BLI,2024-05-11,,1.01,,,1.07,1122.0,8.32,6.91,14705.0,0.64
BLN,2024-05-11,,0.01,,,,,,29.69,,
BLT,2024-05-11,,0.02,8800.0,0.22,-0.14,,,25.57,,
BMC,2024-05-11,,5.03,1150.0,0.05,0.54,2152.0,9.76,15.34,18469.0,1.14
BMD,2024-05-11,,,700.0,0.07,1.09,,,5.41,11879.0,0.81
BMF,2024-05-11,,,,,0.73,826.0,11.26,7.19,11152.0,0.83
BMG,2024-05-11,,19.17,1500.0,0.08,0.11,915.0,21.09,7.3,16974.0,1.14
BMI,2024-05-11,28200.0,30.28,500.0,0.02,1.23,2303.0,9.03,6.65,22835.0,0.91
BMJ,2024-05-11,,,,,1.48,465.0,21.92,15.75,11469.0,0.89
BMN,2024-05-11,,,700.0,0.08,0.16,1693.0,5.08,6.01,10561.0,0.81
BMP,2024-05-11,40000.0,85.19,18340.0,0.14,0.94,12419.0,10.47,10.33,35922.0,3.62
BMS,2024-05-11,,0.36,,,2.37,364.0,25.12,10.0,11994.0,0.76
BMV,2024-05-11,,,,,-0.02,49.0,241.26,87.49,10139.0,1.16
