ID,CatID,Exchange,IndustryName,Code,Name,TotalShares,URL,Row,TotalRecord
3669,5,UPCoM,Tư liệu sản xuất,HAN,Tổng Công ty Xây dựng Hà Nội - CTCP,141048000,https://finance.vietstock.vn/HAN-tong-cong-ty-xay-dung-ha-noi-ctcp.htm,520,3275
24,1,HOSE,Nguyên vật liệu,HAP,CTCP Tập đoàn Hapaco,111097772,https://finance.vietstock.vn/HAP-ctcp-tap-doan-hapaco.htm,521,3275
3329,1,HOSE,Phát triển và quản lý bất động sản,HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,101350100,https://finance.vietstock.vn/HAR-ctcp-dau-tu-thuong-mai-bat-dong-san-an-duong-thao-dien.htm,522,3275
665,1,HOSE,Tư liệu sản xuất,HAS,CTCP Hacisco,8000000,https://finance.vietstock.vn/HAS-ctcp-hacisco.htm,523,3275
2449,2,HNX,"Thực phẩm, đồ uống và thuốc lá",HAT,CTCP Thương mại Bia Hà Nội,3123000,https://finance.vietstock.vn/HAT-ctcp-thuong-mai-bia-ha-noi.htm,524,3275
4607,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HAV,CTCP Rượu Hapro,3297860,https://finance.vietstock.vn/HAV-ctcp-ruou-hapro.htm,525,3275
796,1,HOSE,Phân phối và bán lẻ hàng lâu bền,HAX,CTCP Dịch vụ Ô tô Hàng Xanh,107439681,https://finance.vietstock.vn/HAX-ctcp-dich-vu-o-to-hang-xanh.htm,526,3275
797,5,UPCoM,Tư liệu sản xuất,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,347213270,https://finance.vietstock.vn/HBC-ctcp-tap-doan-xay-dung-hoa-binh.htm,527,3275
798,5,UPCoM,Nguyên vật liệu,HBD,CTCP Bao Bì PP Bình Dương,2011100,https://finance.vietstock.vn/HBD-ctcp-bao-bi-pp-binh-duong.htm,528,3275
3733,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HBH,CTCP Habeco - Hải Phòng,16000000,https://finance.vietstock.vn/HBH-ctcp-habeco-hai-phong.htm,529,3275
1342,2,HNX,Dịch vụ tài chính,HBS,CTCP Chứng khoán Hòa Bình,32999980,https://finance.vietstock.vn/HBS-ctcp-chung-khoan-hoa-binh.htm,530,3275
1929,5,UPCoM,Tư liệu sản xuất,HC1,CTCP Xây dựng Số 1 Hà Nội,8000000,https://finance.vietstock.vn/HC1-ctcp-xay-dung-so-1-ha-noi.htm,531,3275
2025,5,UPCoM,Phát triển và quản lý bất động sản,HC3,CTCP Xây dựng Số 3 Hải Phòng,20685717,https://finance.vietstock.vn/HC3-ctcp-xay-dung-so-3-hai-phong.htm,532,3275
